timestamp,alpha,ndcg@10,recall@10,mrr@10
2026-03-13T12:10:08.628722+00:00,0.5,0.0,0.0,0.0
2026-03-13T12:12:49.602622+00:00,0.5,0.0,0.0,0.0
2026-03-13T12:15:55.674113+00:00,0.5,1.0,1.0,1.0
